icao;airport
AYAG;Agaun Airport
AYAI;Aitape Airstrip
AYAK;Aiambak Airport
AYAM;Amanab Airport
AYAN;Andakombe Airport
AYAO;Aiome Airport
AYAQ;Kompiam Airport
AYAT;Ambunti Airport
AYAW;Awaba Airport
AYAX;Aseki Airport
AYAY;Aiyura Airport
AYBA;Baimuru Airport
AYBC;Bambu Airport
AYBD;Bodinumu Airport
AYBF;Bamu Airport
AYBG;Baindoung Airport
AYBH;Bensbach Airport
AYBI;Bewani Airport
AYBK;Buka Island Airport
AYBL;Bialla Airport
AYBM;Balimo Airport
AYBO;Bomai Airport
AYBP;Bapi Airport
AYBQ;Biangabip Airport
AYBR;Biaru Airport
AYBU;Bulolo Airport
AYBZ;Biniguni Airport
AYCB;Chungrebu Airport
AYCG;Cape Gloucester Airport
AYCH;Chimbu Airport
AYCS;China Strait Airstrip
AYDB;Debepare Airport
AYDE;Derim Airport
AYDI;Bundi Airport
AYDK;Munduku Airport
AYDL;Kondubol Airport
AYDN;Dinangat Airport
AYDO;Doini Island Airport
AYDR;Dorobisoro Airstrip
AYDU;Daru Airport
AYEA;Kerau Airport
AYEB;Embessa Airport
AYED;Edwaki Airport
AYEE;Emirau Airport
AYEF;Efogi Airport
AYEH;Morehead Airport
AYEL;Eliptamin Airport
AYEN;Engati Airport
AYEO;Emo Airport
AYER;Erume Airport
AYET;Bosset Airport
AYEV;Erave Airport
AYEW;Siwea Airport
AYFA;Fane Airport
AYFE;Feramin Airport
AYFI;Finschhafen Airport
AYFR;Frieda River Airport
AYFU;Fuma Airport
AYGA;Goroka Airport
AYGC;Gewoia Airport
AYGF;Guari Airport
AYGG;Garasa Airport
AYGI;Garaina Airport
AYGJ;Guasopa Airport
AYGL;Gonaili Airstrip
AYGN;Gurney Airport
AYGP;Gusap Airport
AYGR;Girua Airport
AYGS;Gasuke Airport
AYGT;Gasmata Airport
AYGU;Anguganak Airport
AYGV;Green River Airport
AYGX;Gora Airport
AYHB;Habi Airport
AYHE;Heiweni Airport
AYHF;Hayfields Airport
AYHH;Honinabi Airport
AYHK;Hoskins Airport
AYHO;Haivaro Airport
AYHU;Hawabango Airport
AYIA;Nissan Island Airport
AYID;Indagen Airport
AYII;Imane Airport
AYIM;Kungim Airport
AYIO;Imonda Airport
AYIQ;Aropa Airport
AYIW;Wasua Airport
AYIX;Witu Airport
AYIY;Miyanmin Airport
AYJO;Yongai Airport
AYJS;Josephstaal Airport
AYKA;Losuia Airport
AYKB;Kabwum Airport
AYKC;Kandrian Airport
AYKD;Kamina Airport
AYKG;Kopiago Airport
AYKH;Kamulai Airport
AYKI;Kiunga Airport
AYKJ;Kanainj Airport
AYKK;Kikori Airport
AYKM;Kerema Airport
AYKO;Kokoda Airport
AYKQ;Kagi Airport
AYKR;Karkar Airport
AYKT;Kaintiba Airport
AYKU;Kuri Airport
AYKV;Kavieng Airport
AYKW;Kawito Airport
AYKY;Lihir Island Airport
AYLB;Lab Lab Airport
AYLG;Keglsugl Airport
AYLI;Kibuli Airport
AYLL;Linga Linga Airport
AYLN;Langimar Airport
AYLO;Lowai Airport
AYLP;Leron Plains Airport
AYLS;Lese Airport
AYLT;Lengbati Airport
AYLU;Lumi Airport
AYLX;Long Island Airport
AYMA;Manari Airport
AYMB;Morobe Airport
AYMC;Menyamya Airport
AYMD;Madang Airport
AYMH;Mount Hagen Airport
AYMI;Mindik Airport
AYMJ;Makini Airport
AYML;Mougulu Airport
AYMN;Mendi Airport
AYMO;Momote Airport
AYMP;Malalaua Airport
AYMQ;Malam Airport
AYMR;Moro Airport
AYMS;Misima Island Airport
AYMV;Malekolon Airport
AYMW;Marawaka Airport
AYMZ;Mabua Airstrip
AYNA;Nankina Airport
AYNB;Kanabea Airport
AYNC;Nadunumu Airport
AYND;Aua Island Airport
AYNE;Negarbo Airport
AYNI;Nuguria Airstrip
AYNJ;Namudi Airport
AYNM;Kasanombe Airport
AYNN;Kandep Airport
AYNS;Bunsil Airport
AYNU;Nuku Airport
AYNX;Namatanai Airport
AYNY;Nambaiyufa Airport
AYNZ;Lae Nadzab Airport
AYOB;Obo Airport
AYOE;Konge Airport
AYOF;Okao Airport
AYOG;Ogeramnang Airport
AYOJ;Oksapmin Airport
AYOK;Komako Airport
AYOL;Kol Airport
AYOM;Omora Airport
AYOO;Komo-Manda Airport
AYOP;Kosipe Airport
AYOQ;Komaio Airport
AYOV;Olsobip Airport
AYOW;Koroba Airport
AYPB;Paiela Airport
AYPC;Pangoa Airport
AYPD;Pindiu Airport
AYPE;April River Airport
AYPG;Pangia Airport
AYPJ;Pimaga Airport
AYPO;Mapoda Airport
AYPQ;Pumani Airport
AYPY;Jacksons International Airport
AYQA;Karawari Airport
AYQL;Tumolbil Airport
AYQO;Sopu Airport
AYQQ;Ononge Airport
AYQS;Sialum Airport
AYRA;Kira Airport
AYRE;Rabaraba Airport
AYRG;Rumginae Airport
AYRI;Karimui Airport
AYRK;Kairuku Airport
AYRM;Maramuni Airport
AYRO;Kakoro Airport
AYSA;Suabi Airport
AYSD;Saidor Airport
AYSE;Simberi Airport
AYSF;Safia Airport
AYSG;Sila Airport
AYSH;Sabah Airport
AYSJ;Simbai Airport
AYSK;Sangapi Airport
AYSL;Sehulea Airport
AYSO;Selbang Airport
AYSP;Sapmanga Airport
AYSS;Sasereme Airport
AYSU;Suki Airport
AYSV;Sauren Airport
AYSW;Satwag Airport
AYSX;Masa Airport
AYTA;Tari Airport
AYTB;Tabubil Airport
AYTE;Telefomin Airport
AYTF;Tetebedi Airport
AYTG;Tagula Airport
AYTH;Tifalmin Airport
AYTI;Tapini Airport
AYTK;Rabaul Airport (Tokua Airport)
AYTN;Tekin Airport
AYTO;Kamberatoro Airport
AYTP;Teptep Airport
AYTR;Tarabo Airport
AYTS;Tsewi Airport
AYTT;Tarakbits Airport
AYTU;Tufi Airport
AYTV;Timbunke Airport
AYTW;Tawa Airport
AYTY;Terapo Airport
AYTZ;Tekadu Airport
AYUC;Umba Airport
AYUE;Uroubi Airport
AYUI;Buin Airport
AYUM;Aumo Airport
AYUP;Gulgubip Airport
AYUR;Upiara Airport
AYUY;Kuyol Airport
AYUZ;Uvol Airport
AYVL;Talasea Airport
AYVM;Torembi Airport
AYVN;Vanimo Airport
AYVO;Tonu Airport
AYVW;Wuvulu Island Airport
AYWB;Wabo Airport
AYWC;Wantoat Airport
AYWD;Wapenamanda Airport
AYWF;Wawoi Falls Airport
AYWG;Wanigela Airport
AYWH;Wanuma Airport
AYWJ;Wapolu Airport
AYWK;Wewak Airport
AYWO;Wonenara Airport
AYWQ;Wakunai Airport
AYWS;Wasu Airport
AYWT;Woitape Airport
AYWU;Wau Airport
AYXE;Yeva Airport
AYXI;Sim Airport
AYXO;Tol Airport
AYXP;Wipim Airport
AYXW;Weam Airport
AYYE;Yalumet Airport
AYYK;Yankisa Airport
AYYL;Tinboli Airport
AYYM;Mal Island Airport
AYYO;Oram Airport
AYYP;Yapsiei Airport
AYYR;Yasuru Airport
AYZA;Zenag Airport
AYZI;Silur Airport
AYZN;Sissano Airport
AYZS;Ossima Airport
PRNO;Siocon Airport
RPEN;El Nido Airport
RPLB;Subic Bay International Airport
RPLC;Clark International Airport
RPLE;Balesin Airport
RPLH;Cagayan North International Airport (Lal-lo Airport)
RPLI;Laoag International Airport
RPLK;Bicol International Airport
RPLL;Ninoy Aquino International Airport / Villamor Air Base
RPLO;Cuyo Airport
RPLP;Legazpi International Airport
RPLS;Danilo Atienza Air Base
RPLU;Lubang Airport
RPMA;Allah Valley Airport
RPMC;Awang Airport
RPMD;Francisco Bangoy International Airport
RPME;Bancasi Airport
RPMF;Bislig Airport
RPMG;Dipolog Airport
RPMH;Camiguin Airport
RPMI;Maria Cristina Airport (Iligan Airport)
RPMJ;Jolo Airport
RPMM;Malabang Airport
RPMN;Sanga-Sanga Airport
RPMO;Labo Airport
RPMP;Pagadian Airport
RPMQ;Mati Airport (Imelda R. Marcos Airport)
RPMR;General Santos International Airport (Tambler Airport)
RPMS;Surigao Airport
RPMU;Cagayan de Sulu Airport
RPMV;Ipil Airport
RPMW;Tandag Airport
RPMY;Laguindingan Airport
RPMZ;Zamboanga International Airport
RPNS;Sayak Airport (Siargao Airport)
RPSD;Cesar Lim Rodriguez Airport
RPSG;Sicogon Airport
RPSV;San Vicente Airport
RPUB;Loakan Airport
RPUD;Bagasbas Airport
RPUH;San Jose Airport
RPUM;Mamburao Airport
RPUN;Naga Airport
RPUO;Basco Airport
RPUR;Dr. Juan C. Angara Airport
RPUS;San Fernando Airport
RPUT;Tuguegarao Airport
RPUV;Virac Airport
RPUW;Marinduque Airport
RPUY;Cauayan Airport
RPVA;Daniel Z. Romualdez Airport
RPVB;Bacolod-Silay International Airport
RPVC;Calbayog Airport
RPVD;Sibulan Airport (Dumaguete Airport)
RPVE;Godofredo P. Ramos Airport (Caticlan Airport)
RPVF;Catarman National Airport
RPVI;Iloilo International Airport
RPVJ;Moises R. Espinosa Airport (Masbate Airport)
RPVK;Kalibo International Airport
RPVM;Mactan-Cebu International Airport
RPVO;Ormoc Airport
RPVP;Puerto Princesa International Airport
RPVR;Roxas Airport
RPVS;Evelio Javier Airport (Antique Airport)
RPVT;Tagbilaran Airport
RPVU;Tugdan Airport
RPVV;Francisco B. Reyes Airport
OPBN;Bannu Airport
OPBW;Bahawalpur Airport
OPCH;Chitral Airport
OPCL;Chilas Airport
OPDB;Dalbandin Airport
OPDD;Dadu Airport
OPDG;Dera Ghazi Khan International Airport
OPDI;Dera Ismail Khan Airport
OPFA;Faisalabad International Airport
OPGD;Gwadar International Airport
OPGT;Gilgit Airport
OPIS;Islamabad International Airport
OPJA;PAF Base Shahbaz
OPJI;Jiwani Airport
OPKC;Jinnah International Airport
OPKD;Hyderabad Airport
OPKH;Khuzdar Airport
OPKT;PAF Base Kohat
OPLA;Allama Iqbal International Airport
OPLL;Loralai Airport
OPMA;Mangla Airport
OPMF;Muzaffarabad Airport
OPMI;PAF Base M.M. Alam
OPMJ;Moenjodaro Airport
OPMP;Sindhri Airport
OPMT;Multan International Airport
OPNH;Nawabshah Airport
OPOR;Ormara Airport
OPPC;Parachinar Airport
OPPG;Panjgur Airport
OPPI;Pasni Airport
OPPS;Bacha Khan International Airport
OPQT;Quetta International Airport
OPRK;Shaikh Zayed International Airport
OPRT;Rawalakot Airport
OPSB;Sibi Airport
OPSD;Skardu Airport
OPSK;Sukkur Airport
OPSN;Sehwan Sharif Airport
OPSR;PAF Base Mushaf
OPSS;Saidu Sharif Airport
OPST;Sialkot International Airport
OPSU;Sui Airport
OPSW;Sawan Airport
OPTA;Tarbela Dam Airport
OPTH;Talhar Airport
OPTU;Turbat International Airport
OPWN;Wana Airport
OPZB;Zhob Airport
EPBP;Biala Podlaska Airport
EPBY;Bydgoszcz Ignacy Jan Paderewski Airport
EPGD;Gdansk Lech Walesa Airport
EPKK;John Paul II International Airport Krakow-Balice
EPKT;Katowice International Airport
EPKZ;Koszalin-Zegrze Pomorskie Airport
EPLB;Lublin Airport
EPLL;Lodz Wladyslaw Reymont Airport
EPMO;Warsaw Modlin Airport
EPPO;Poznań–Ławica Henryk Wieniawski Airport
EPRA;Radom Airport
EPRU;Czestochowa-Rudniki Airport
EPRZ;Rzeszow-Jasionka Airport
EPSC;Solidarity Szczecin-Goleniow Airport
EPSY;Olsztyn-Mazury Regional Airport
EPWA;Warsaw Chopin Airport
EPWR;Copernicus Airport Wroclaw
EPZG;Zielona Gora Airport
LFVM;Miquelon Airport
LFVP;Saint-Pierre Airport
TJIG;Fernando Luis Ribas Dominicci Airport
TJPS;Mercedita Airport
TJSJ;Luis Munoz Marin International Airport
LVGZ;Yasser Arafat International Airport
LPAZ;Santa Maria Airport
LPBG;Braganca Airport
LPBJ;Beja Airport
LPBR;Braga Airport
LPCH;Chaves Airport
LPCO;Coimbra Airport
LPCR;Corvo Airport
LPCS;Cascais Municipal Aerodrome
LPFL;Flores Airport
LPFR;Faro Airport
LPGR;Graciosa Airport
LPHR;Horta Airport
LPLA;Lajes Field
LPMA;Madeira Airport
LPPD;Joao Paulo II Airport
LPPI;Pico Airport
LPPM;Portimao Airport
LPPR;Francisco Sá Carneiro Airport
LPPS;Porto Santo Airport
LPPT;Lisbon Portela Airport
LPSI;Sines Airport
LPSJ;Sao Jorge Airport
LPVR;Vila Real Airport
LPVZ;Viseu Airport
PTRO;Roman Tmetuchl International Airport
SGAS;Silvio Pettirossi International Airport
SGAY;Juan de Ayolas Airport
SGBN;Bahia Negra Airport
SGCO;Teniente Coronel Carmelo Peralta Airport
SGEN;Teniente Amin Ayub Gonzalez Airport
SGES;Guarani  International Airport
SGFI;Filadelfia Airport
SGME;Dr. Luis Maria Argana International Airport
SGOL;Fuerte Olimpo Airport
SGPI;Carlos Miguel Jimenez Airport
SGPJ;Dr. Augusto Roberto Fuster International Airport
OTBD;Doha International Airport
OTBH;Al Udeid Air Base
OTHH;Hamad International Airport
FMEE;Roland Garros Airport
FMEP;Pierrefonds Airport
LRAR;Arad International Airport
LRBC;Bacau International Airport
LRBM;Baia Mare Airport
LRBS;Aurel Vlaicu International Airport
LRBV;Brasov Airport
LRCK;Mihail Kogalniceanu International Airport
LRCL;Cluj-Napoca International Airport
LRCS;Caransebes Airport
LRCV;Craiova International Airport
LRIA;Iasi International Airport
LROD;Oradea International Airport
LROP;Bucharest Henri Coandă International Airport
LRSB;Sibiu International Airport
LRSM;Satu Mare International Airport
LRSV;Suceava International Airport (Stefan cel Mare Int'l)
LRTC;Tulcea Danube Delta Airport
LRTM;Targu Mures International Airport
LRTR;Timisoara Traian Vuia International Airport
LYBE;Belgrade Nikola Tesla Airport
LYBT;Batajnica Air Base
LYKV;Morava Aerodrom
LYNI;Nis Constantine the Great Airport
LYUZ;Uzice-Ponikve Airport
UEBS;Sakkyryr Airport
UEBT;Ust-Kuyga Airport
UECT;Talakan Airport
UEEA;Aldan Airport
UEEE;Yakutsk Airport
UELL;Chulman Neryungri Airport
UEMA;Moma Airport
UEMH;Teply Klyuch Airport
UEMM;Magan Airport
UEMO;Olyokminsk Airport
UEMT;Ust-Nera Airport
UEMU;Ust-Maya Airport
UENI;Verkhnevilyuysk Airport
UENN;Nyurba Airport
UENS;Suntar Airport
UENW;Vilyuysk Airport
UERL;Lensk Airport
UERO;Olenyok Airport
UERP;Polyarny Airport
UERR;Mirny Airport
UERS;Saskylakh Airport
UESG;Belaya Gora Airport
UESK;Srednekolymsk Airport
UESO;Chokurdakh Airport
UESS;Chersky Airport
UEST;Tiksi Airport
UESU;Zyryanka Airport
UEVV;Zhigansk Airport
UHBB;Ignatyevo Airport
UHBI;Magdagachi Airport
UHBW;Tynda Airport
UHHH;Khabarovsk Novy Airport
UHKK;Komsomolsk-on-Amur Airport
UHKM;Sovetskaya Gavan Airport
UHMA;Ugolny Airport
UHMD;Provideniya Bay Airport
UHMK;Keperveyem Airport
UHMM;Sokol Airport
UHMO;Markovo Airport
UHMP;Pevek Airport
UHMW;Severo-Evensk Airport
UHNB;Bogorodskoye Airport
UHNN;Nikolayevsk-on-Amur Airport
UHOO;Okhotsk Airport
UHPP;Petropavlovsk-Kamchatsky Airport (Yelizovo Airport)
UHSB;Burevestnik Airport
UHSH;Okha Airport (Novostroyka Airport)
UHSI;Iturup Airport
UHSK;Shakhtyorsk Airport
UHSM;Yuzhno-Kurilsk Mendeleyevo Airport
UHSN;Nogliki Airport
UHSO;Zonalnoye Airport
UHSS;Yuzhno-Sakhalinsk Airport (Khomutovo Airport)
UHTG;Amgu Airport
UHWP;Plastun Airport
UHWW;Vladivostok International Airport
UIAA;Chita International Airport (Kadala Airport)
UIBB;Bratsk Airport
UIBS;Ust-Ilimsk Airport
UIII;International Airport Irkutsk
UIKB;Bodaybo Airport
UIKE;Erbogachen Airport
UIKK;Kirensk Airport
UITT;Ust-Kut Airport
UIUU;Baikal International Airport
ULAA;Talagi Airport
ULAL;Leshukonskoye Airport
ULAM;Naryan-Mar Airport
ULAS;Solovki Airport
ULDD;Amderma Airport
ULDW;Varandey Airport
ULKK;Kotlas Airport
ULLI;Pulkovo Airport
ULMK;Kirovsk-Apatity Airport (Khibiny Airport)
ULMM;Murmansk Airport
ULNN;Novgorod Airport
ULOL;Velikiye Luki Airport
ULOO;Pskov Airport
ULPB;Petrozavodsk Airport (Besovets Airport)
ULSS;Rzhevka Airport
ULWC;Cherepovets Airport
ULWU;Veliky Ustyug Airport
ULWW;Vologda Airport
UMKK;Khrabrovo Airport
UNAA;Abakan International Airport
UNBB;Barnaul Airport
UNBG;Gorno-Altaysk Airport
UNEE;Kemerovo International Airport
UNII;Yeniseysk Airport
UNIP;Podkamennaya Tunguska Airport
UNKL;Yemelyanovo International Airport
UNKS;Achinsk Airport
UNKY;Kyzyl Airport
UNNT;Tolmachevo Airport
UNOO;Omsk Tsentralny Airport
UNSS;Strezhevoy Airport
UNTT;Bogashevo Airport
UNWW;Spichenkovo Airport
UODD;Dikson Airport
UOHH;Khatanga Airport
UOII;Igarka Airport
UOOO;Alykel Airport
UOTT;Turukhansk Airport
URKA;Anapa Airport
URKG;Gelendzhik Airport
URKK;Krasnodar International Airport (Pashkovsky Airport)
URMG;Grozny Airport
URML;Uytash Airport
URMM;Mineralnye Vody Airport
URMN;Nalchik Airport
URMO;Beslan Airport
URMS;Magas Airport (Sleptsovskaya Airport)
URMT;Stavropol Shpakovskoye Airport
URRP;Platov International Airport
URRR;Rostov-on-Don Airport
URRT;Taganrog Airport
URRY;Volgodonsk Airport
URSS;Sochi International Airport
URWA;Narimanovo Airport
URWI;Elista Airport
URWW;Volgograd International Airport
USCC;Chelyabinsk Airport
USCM;Magnitogorsk International Airport
USDA;Sabetta International Airport
USDB;Bovanenkovo Airport
USDD;Salekhard Airport
USDK;Mys-Kamenny Airport
USDP;Krasnoselkup Airport
USDS;Tarko-Sale Airport
USDU;Urengoy Airport
USHH;Khanty-Mansiysk Airport
USHI;Igrim Airport
USHK;Kondinskoye Airport
USHN;Nyagan Airport
USHQ;Beloyarsk Airport
USHS;Sovetsky Airport
USHU;Uray Airport
USII;Izhevsk Airport
USKK;Pobedilovo Airport
USMM;Nadym Airport
USMU;Novy Urengoy Airport
USNN;Nizhnevartovsk Airport
USNR;Raduzhny Airport
USPP;Perm International Airport (Bolshoye Savino Airport)
USRK;Kogalym International Airport
USRN;Nefteyugansk Airport
USRO;Noyabrsk Airport
USRR;Surgut International Airport
USSS;Koltsovo International Airport
USTO;Tobolsk Airport
USTR;Roshchino International Airport
USUU;Kurgan Airport
UUBA;Kostroma Airport
UUBB;Bykovo Airport
UUBC;Grabtsevo Airport
UUBI;Ivanovo Yuzhny Airport
UUBK;Staroselye Airport
UUBP;Bryansk International Airport
UUBS;Smolensk South Airport
UUBT;Klokovo Airport
UUBW;Ramenskoye Airport (Zhukovsky Airport)
UUDD;Domodedovo Airport
UUDL;Tunoshna Airport
UUEE;Sheremetyevo Alexander S. Pushkin International Airport
UUEM;Migalovo Air Base
UUMO;Ostafyevo International Airport
UUMU;Chkalovsky Airport
UUOB;Belgorod International Airport
UUOK;Kursk Vostochny Airport
UUOL;Lipetsk Airport
UUOO;Voronezh International Airport (Chertovitskoye Airport)
UUOR;Oryol Yuzhny Airport
UUOT;Tambov Donskoye Airport
UUWR;Turlatovo Airport
UUWW;Vnukovo International Airport
UUYH;Ukhta Airport
UUYI;Inta Airport
UUYP;Pechora Airport
UUYS;Usinsk Airport
UUYW;Vorkuta Airport
UUYX;Ust-Tsilma Airport
UUYY;Syktyvkar Airport
UWGG;Nizhny Novgorod International Airport (Strigino Airport)
UWKB;Bugulma Airport
UWKD;Kazan International Airport
UWKE;Begishevo Airport
UWKJ;Yoshkar-Ola Airport
UWKS;Cheboksary Airport
UWLL;Ulyanovsk Baratayevka Airport
UWLW;Ulyanovsk Vostochny Airport
UWOO;Orenburg Tsentralny Airport
UWOR;Orsk Airport
UWPP;Penza Airport (Ternovka Airport)
UWPS;Saransk Airport
UWSB;Balakovo Airport
UWSS;Saratov Tsentralny Airport
UWUB;Beloretsk Airport
UWUF;Neftekamsk Airport
UWUK;Oktyabrsky Airport
UWUU;Ufa International Airport
UWWW;Kurumoch International Airport
HRYG;Gisenyi Airport
HRYI;Butare Airport
HRYR;Kigali International Airport (Kanombe Airport)
HRYU;Ruhengeri Airport
HRZA;Kamembe Airport
OEAB;Abha Regional Airport
OEAH;Al-Ahsa International Airport
OEAO;Prince Abdul Majeed bin Abdulaziz Domestic Airport
OEBA;Al-Baha Domestic Airport
OEBH;Bisha Domestic Airport
OEDF;King Fahd International Airport
OEDR;King Abdulaziz Air Base
OEDW;Dawadmi Domestic Airport (King Salman bin Abdul Aziz Domestic Airport)
OEGN;Jizan Regional Airport (King Abdullah bin Abdulaziz Airport)
OEGS;Prince Nayef bin Abdulaziz Regional Airport
OEGT;Gurayat Domestic Airport
OEHL;Ha'il Regional Airport
OEJN;King Abdulaziz International Airport
OEKK;King Khaled Military City Airport
OEKM;King Khalid Air Base
OEMA;Prince Mohammad bin Abdulaziz Airport
OENG;Najran Domestic Airport
OENN;Neom Bay Airport
OEPA;Al Qaisumah/Hafr Al Batin Airport
OEPS;Prince Sultan Air Base
OERF;Rafha Domestic Airport
OERK;King Khalid International Airport
OERR;Arar Domestic Airport
OESH;Sharurah Domestic Airport
OESK;Al-Jawf Domestic Airport
OESL;Sulayel Airport
OETB;Tabuk Regional Airport
OETF;Ta'if Regional Airport
OETR;Turaif Domestic Airport
OEWD;Wadi al-Dawasir Domestic Airport
OEWJ;Al Wajh Domestic Airport
OEYN;Yanbu Airport (Yenbo Airport)
OEZL;Zilfi Airport
AGAF;Afutara Airport
AGAR;Ulawa Airport
AGAT;Uru Harbour Airport
AGBA;Barakoma Airport
AGBT;Batuna Airport
AGEV;Geva Airport
AGGA;Auki Gwaunaru'u Airport
AGGB;Bellona/Anua Airport
AGGC;Choiseul Bay Airport
AGGE;Balalae Airport
AGGF;Fera Airport (Fera/Maringe Airport)
AGGH;Honiara International Airport
AGGI;Mbambanakira Airport
AGGJ;Avu Avu Airport
AGGK;Kirakira Airport (Ngorangora Airstrip)
AGGL;Santa Cruz/Graciosa Bay/Luova Airport
AGGM;Munda Airport
AGGN;Nusatupe Airport
AGGO;Mono Airport
AGGP;Parasi Airport
AGGQ;Ontong Java Airport
AGGR;Rennell/Tingoa Airport
AGGS;Seghe Airport
AGGT;Santa Ana Airport
AGGU;Marau Airport
AGGV;Suavanao Airport
AGGY;Yandina Airport
AGJO;Jajao Airport
AGKG;Kaghau Airport
AGKU;Kukundu Airport
AGKW;Kwailabesi Airport
AGNA;Nana Airport
AGOK;Gatokae Aerodrome
AGRC;Ringgi Cove Airport
AGRM;Ramata Airport
AGTI;Tulaghi Heliport
FSDR;Desroches Airport
FSIA;Seychelles International Airport
FSPP;Praslin Island Airport
FSSB;Bird Island Airport
FSSD;Denis Island Airport
FSSF;Fregate Island Airport
HSAT;Atbara Airport
HSDB;El Debba Airport
HSDN;Dongola Airport
HSDZ;Damazin Airport
HSFA;Paloich Airport
HSFS;El Fasher Airport
HSGF;Azaza Airport
HSGG;Galegu Airport
HSGN;Geneina Airport
HSKA;Kassala Airport
HSKG;Khashm el Girba Airport
